,"PLANTA: TODAS LAS PLANTAS
PROCESO: APOYO
AREA: SISTEMAS Y TELECOMUNICACIONES
",,,,,,,,,"Tipo: FTO
Código: FTO-SYT-19
Revisión: 00
Página: 1 
",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Formato de actualización de precios de compra.,,,,,,,,,#¡REF!,,
,,,,,,,,,,#¡REF!,,
,,,,,,,,,|,,,
COMPANY_CODE,DIVISION,PRICE_RECORD_NUMBER,CUSTOMER_NUMBER,WAREHOUSE,PART_CODE,SYS_CURRENCY_CODE,UNIT_PRICE,PRICE_CODE,DESCRPTION,VALID_FROM_DATE,VALID_TO_DATE,SALES_PRICE
id_compañia,id_division,numero_concecutivo,codigo_cliente,almacen,codigo_producto,moneda_contrato,unidad_medida_(kg),codigo_precio,descripcion,fecha_valida_desde,fecha_valida_hasta,precio
01,01,33,C010019,V5,IOH1-004-P,MXP,KG,PURATOS,DHOE-HUEVO DESHIDRATADO  OMELET,01/03/2022,30/03/2022, 10.00 
01,01,34,C010019,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,35,C010019,V5,TOH1-000-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO RINDEX,01/03/2022,30/03/2022, 10.00 
01,01,36,C010019,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,37,C010019,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,38,C010019,V5,TOH1-001-P,MXP,KG,PURATOS,HUEVO EN POLVO MIX,01/03/2022,30/03/2022, 10.00 
01,01,39,C010019,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,40,C010019,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,41,C010019,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGA PAN FORTE LIQ,01/03/2022,30/03/2022, 10.00 
01,01,42,C010019,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGA PAN FORTE LIQ,01/03/2022,30/03/2022, 10.00 
01,01,43,C010019,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,44,C010019,A5,TCY1-000-P,MXP,KG,PURATOS,YCPG-YEMA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,45,C010019,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA,01/03/2022,30/03/2022, 10.00 
01,01,46,C010025,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PAN ,01/03/2022,30/03/2022, 10.00 
01,01,47,C010037,V5,TOA1-008-P,MXP,KG,PURATOS,DALB-ALBUMINA  ,01/03/2022,30/03/2022, 10.00 
01,01,48,C010037,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO EN POLVO,01/03/2022,30/03/2022, 10.00 
01,01,49,C010037,V5,IOH1-004-P,MXP,KG,PURATOS,DHOE-HUEVO DESHIDRATADO  OMELET,01/03/2022,30/03/2022, 10.00 
