,"PLANTA: TODAS LAS PLANTAS
PROCESO: APOYO
AREA: SISTEMAS Y TELECOMUNICACIONES
",,,,,,,,,"Tipo: FTO
Código: FTO-SYT-19
Revisión: 00
Página: 1 
",,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Formato de actualización de precios de compra.,,,,,,,,,#¡REF!,,
,,,,,,,,,,#¡REF!,,
,,,,,,,,,|,,,
COMPANY_CODE,DIVISION,PRICE_RECORD_NUMBER,CUSTOMER_NUMBER,WAREHOUSE,PART_CODE,SYS_CURRENCY_CODE,UNIT_PRICE,PRICE_CODE,DESCRPTION,VALID_FROM_DATE,VALID_TO_DATE,SALES_PRICE
id_compañia,id_division,numero_concecutivo,codigo_cliente,almacen,codigo_producto,moneda_contrato,unidad_medida_(kg),codigo_precio,descripcion,fecha_valida_desde,fecha_valida_hasta,precio
01,01,153,C010359,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA PAST. ESTANDAR,01/03/2022,30/03/2022, 10.00 
01,01,154,C010361,G5,ILH2-001-P,MXP,KG,PURATOS,HUEVO LIQUIDO SIN PASTEURIZAR ,01/03/2022,30/03/2022, 10.00 
01,01,155,C010360,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE ,01/03/2022,30/03/2022, 10.00 
01,01,156,C010360,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE ,01/03/2022,30/03/2022, 10.00 
01,01,157,C010105,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO ,01/03/2022,30/03/2022, 10.00 
01,01,158,C010105,V5,TOA1-003-P,MXP,KG,PURATOS,ALBUMINA ALTA ESPUMA ,01/03/2022,30/03/2022, 10.00 
01,01,159,C010037,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,160,C010037,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,161,C010019,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,162,C010019,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,163,C010361,G5,ILC2-000-P,MXP,KG,PURATOS,CLARA LIQUIDA SIN PASTEURIZAR,01/03/2022,30/03/2022, 10.00 
01,01,164,C010271,V5,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
01,01,165,C010362,A5,TCY1-000-P,MXP,KG,PURATOS,YEMA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,166,C010233,V5,TOA1-002-P,MXP,KG,PURATOS,ALBUMINA Ph AJUSTADO,01/03/2022,30/03/2022, 10.00 
01,01,167,C010233,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,168,C010359,A5,TOY1-000-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70,01/03/2022,30/03/2022, 10.00 
01,01,169,C010037,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,170,C010366,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,171,C010282,X5,ILH1-006-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMET PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,172,C010019,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,173,C010019,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,174,C010122,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,175,C010186,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,176,C010285,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,177,C010320,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,178,C010324,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,179,C010359,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,180,C010282,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,181,C010364,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,182,C010025,X5,TLC1-000-P,MXP,KG,PURATOS,CLARA LIQUIDA ESTANDAR,01/03/2022,30/03/2022, 10.00 
01,01,183,C010359,V5,TOH1-010-P,MXP,KG,PURATOS,HUEVO MEGGA BATIDOS,01/03/2022,30/03/2022, 10.00 
01,01,184,C010037,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,185,C010256,X5,TKH0-000-P,MXP,KG,PURATOS,HUEVO CASCARON,01/03/2022,30/03/2022, 10.00 
01,01,186,C010256,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,187,C010256,A5,TCH1-010-P,MXP,KG,PURATOS,HUEVO CONG GOURMEEG,01/03/2022,30/03/2022, 10.00 
01,01,188,C010366,V5,TOY1-000-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70,01/03/2022,30/03/2022, 10.00 
01,01,189,C010368,V5,TOH1-018-P,MXP,KG,PURATOS,HUEVO DESHIDRATADO,01/03/2022,30/03/2022, 10.00 
01,01,190,C010359,V5,TOA1-009-P,MXP,KG,PURATOS,ALBUMINA M900,01/03/2022,30/03/2022, 10.00 
01,01,191,C010359,V5,TOH1-011-P,MXP,KG,PURATOS,HUEVO MEGGA FERMENTADOS,01/03/2022,30/03/2022, 10.00 
01,01,192,C010019,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA ,01/03/2022,30/03/2022, 10.00 
01,01,193,C010019,A5,TCC1-001-P,MXP,KG,PURATOS,CCPE-CLARA CONGELADA ,01/03/2022,30/03/2022, 10.00 
01,01,194,C010019,A5,TCC1-000-P,MXP,KG,PURATOS,CLARA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,195,C010019,A5,TCC1-000-P,MXP,KG,PURATOS,CLARA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,196,C010019,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,197,C010019,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,198,C010019,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGA PAN FORTE LIQ,01/03/2022,30/03/2022, 10.00 
01,01,199,C010019,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGA PAN FORTE LIQ,01/03/2022,30/03/2022, 10.00 
01,01,200,C010019,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,201,C010019,X5,TLH1-010-P,MXP,KG,PURATOS,HUEVO LIQUIDO MEGGA PANOVO,01/03/2022,30/03/2022, 10.00 
01,01,202,C010019,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,203,C010019,X5,TLH1-012-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE AR,01/03/2022,30/03/2022, 10.00 
01,01,204,C010037,X5,TLH1-009-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,205,C010037,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,206,C010037,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE,01/03/2022,30/03/2022, 10.00 
01,01,207,C010037,A5,TCH1-008-P,MXP,KG,PURATOS,HUEVO LIQUIDO GOURMEGG PREMIUM,01/03/2022,30/03/2022, 10.00 
01,01,208,C010037,A5,TCC1-000-P,MXP,KG,PURATOS,CLARA CONGELADA GOURMET,01/03/2022,30/03/2022, 10.00 
01,01,209,C010364,X5,TKH0-000-P,MXP,KG,PURATOS,HUEVO CASCARON,01/03/2022,30/03/2022, 10.00 
01,01,210,C010372,V5,TOY1-005-P,MXP,KG,PURATOS,YEMA DESHIDRATADA 70 X,01/03/2022,30/03/2022, 10.00 
01,01,211,C010374,X5,TLH1-009-P,MXP,KG,PURATOS,HUEVO GOURMET PREMIUM NVA,01/03/2022,30/03/2022, 10.00 
01,01,212,C010359,V5,TOY1-004-P,MXP,KG,PURATOS,YEMA DESHIDRATADA ,01/03/2022,30/03/2022, 10.00 
01,01,213,C010108,V5,TOB1-002-P,MXP,KG,PURATOS,ABRILLANTADOR PARA GALLETA,01/03/2022,30/03/2022, 10.00 
01,01,214,C010025,X5,TLC1-000-P,MXP,KG,PURATOS,CLARA LIQUIDA ESTANDAR,01/03/2022,30/03/2022, 10.00 
01,01,215,C010025,X5,TLH1-006-P,MXP,KG,PURATOS,HUEVO MEGGA PAN FORTE ,01/03/2022,30/03/2022, 10.00 
01,01,216,C010247,X5,TLY1-005-P,MXP,KG,PURATOS,YEMA CON 10 % DE SAL ,01/03/2022,30/03/2022, 10.00 
01,01,217,C010025,DV,TOA1-008-P,MXP,KG,PURATOS,ALBUMINA NORMAL,01/03/2022,30/03/2022, 10.00 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
